,locality,lat,lon,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
0,Austin,30.4800048,-97.7932119,167.0,157.0,160.0,0.0,157.0,166.0,321.0,289.0,385.0,473.0,646.0,632.0,428.0
1,Beaverton,45.5344542,-122.8867709,130.0,102.0,0.0,0.0,0.0,0.0,0.0,107.0,134.0,0.0,0.0,0.0,0.0
2,Bengaluru,13.0444389,77.62019819999998,1925.0,2080.0,1639.0,479.0,2225.0,3067.0,3487.0,3207.0,3369.0,3141.0,3404.0,3247.0,2118.0
3,Durham,35.9135487,-78.90286119999998,0.0,0.0,0.0,0.0,0.0,101.0,0.0,137.0,187.0,193.0,752.0,693.0,244.0
4,Hillsboro,45.5344542,-122.8867709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,153.0,0.0
5,Holmdel,40.3651115,-74.16754279999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0
6,Hyderabad,17.415989899999996,78.3434257,0.0,108.0,0.0,0.0,292.0,336.0,313.0,274.0,370.0,356.0,328.0,337.0,241.0
7,Pune,18.5593852,73.8838105,997.0,1344.0,1088.0,422.0,1643.0,1813.0,1860.0,1675.0,1672.0,1538.0,1988.0,2098.0,1579.0
8,Redmond,47.70340520000001,-122.1537852,111.0,209.0,206.0,0.0,413.0,398.0,430.0,442.0,571.0,522.0,606.0,511.0,330.0
9,Salt Lake City,40.7241554,-111.85443870000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0
10,Santa Clara,37.3706254,-121.9671894,7930.0,9911.0,8213.0,2609.0,10643.0,11893.0,12857.0,12493.0,13938.0,13384.0,15433.0,14132.0,10210.0
11,Shenzhen,22.543096,114.057865,324.0,402.0,344.0,0.0,217.0,227.0,345.0,453.0,490.0,474.0,501.0,447.0,304.0
12,Toronto,43.64520020000001,-79.39537030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,113.0,0.0,0.0,0.0,0.0
13,Westford,42.57118759999999,-71.4137369,116.0,0.0,0.0,0.0,123.0,168.0,152.0,130.0,152.0,167.0,179.0,170.0,117.0
